rank,name,symbol,category,revenue30d,annualizedRevenue,marketCap,revenueYield,marketCapSource,quality
227,aPriori,APR,Liquid Staking,824.1400000000002,10027.03666666667,59963652.32359199,0.00016721857789042064,DeFiLlama,Direct match
228,TON,GRAM,Chain,43037,523616.8333333333,3861160386.340955,0.00013561126214431643,DeFiLlama,Direct match
229,Wompie,MGP,Yield,9.84,119.72,1089613.8737018702,0.00010987378454833867,DeFiLlama,Direct match
230,Rain,RAIN,Prediction Market,97133.58,1181791.8900000001,11979723587.70403,0.00009864934540000486,DeFiLlama,Direct match
231,Iron Bank,IB,Lending,0.13,1.5816666666666668,20722.24652582218,0.00007632698822956949,DeFiLlama,Direct match
232,cap,CAP,Lending,411.26,5003.663333333333,71728003.87168603,0.0000697588537704795,DeFiLlama,Direct match
233,stUSDT,STUSDT,RWA,301.61,3669.5883333333336,62573000.9524739,0.00005864491517868062,DeFiLlama,Direct match
234,Gravity by Galxe,G,Chain,106.69,1298.0616666666667,27647972.03890866,0.00004694961586477012,DeFiLlama,Direct match
235,Badger DAO,BADGER,Yield Aggregator,27,328.5,7012585.584574665,0.00004684434807078715,DeFiLlama,Direct match
236,SMARDEX AMM,SDEX,Dexs,15.240000000000002,185.42000000000002,4621450.581853623,0.00004012160180356829,DeFiLlama,Direct match
237,Sei,SEI,Chain,589.99,7178.211666666667,327264998.3415084,0.000021933942532944025,DeFiLlama,Direct match
238,Velo Finance,VELO,Dexs,142.23,1730.465,79984264.02977036,0.000021635068109846158,DeFiLlama,Direct match
239,Cardano,ADA,Chain,7656,93148,8314277000.625327,0.000011203379439125522,DeFiLlama,Direct match
240,Boson Protocol,BOSON,RWA,1.4500000000000002,17.64166666666667,3312562.820529063,0.0000053256851635643986,DeFiLlama,Direct match
241,Flying Tulip Lend,FT,Lending,13.07,159.01833333333335,52684256.368320085,0.0000030183273769989794,DeFiLlama,Direct match
242,Movement,MOVE,Chain,8.569999999999999,104.2683333333333,40573722.26607019,0.0000025698488457522614,DeFiLlama,Direct match
243,Aspecta BuildKey,ASP,SoFi,0.77,9.368333333333334,4089189.320101583,0.0000022910001469681545,DeFiLlama,Direct match
244,Peapods Finance,PEAS,Yield,0.27,3.2850000000000006,20774682.82191198,1.5812515782600375e-7,DeFiLlama,Direct match
245,Blur Bids,BLUR,NFT Marketplace,0.02,0.24333333333333332,47346006.25005601,5.139469040919274e-9,DeFiLlama,Direct match
